,DocID,TokenID,Token,Tag
0,S0022311514001640,S0022311514001640-0,The,O
1,S0022311514001640,S0022311514001640-1,vapour,B
2,S0022311514001640,S0022311514001640-2,phase,L
3,S0022311514001640,S0022311514001640-3,consists,O
4,S0022311514001640,S0022311514001640-4,of,O
5,S0022311514001640,S0022311514001640-5,a,O
6,S0022311514001640,S0022311514001640-6,number,B
7,S0022311514001640,S0022311514001640-7,of,I
8,S0022311514001640,S0022311514001640-8,different,I
9,S0022311514001640,S0022311514001640-9,gases,L
10,S0022311514001640,S0022311514001640-10,with,O
11,S0022311514001640,S0022311514001640-11,silicon,U
12,S0022311514001640,S0022311514001640-12,exhibiting,O
13,S0022311514001640,S0022311514001640-13,a,O
14,S0022311514001640,S0022311514001640-14,far,O
15,S0022311514001640,S0022311514001640-15,higher,O
16,S0022311514001640,S0022311514001640-16,partial,O
17,S0022311514001640,S0022311514001640-17,pressure,O
18,S0022311514001640,S0022311514001640-18,than,O
19,S0022311514001640,S0022311514001640-19,all,O
20,S0022311514001640,S0022311514001640-20,carbon,U
21,S0022311514001640,S0022311514001640-21,containing,O
22,S0022311514001640,S0022311514001640-22,species,O
23,S0022311514001640,S0022311514001640-23,over,O
24,S0022311514001640,S0022311514001640-24,the,O
25,S0022311514001640,S0022311514001640-25,full,O
26,S0022311514001640,S0022311514001640-26,temperature,O
27,S0022311514001640,S0022311514001640-27,range,O
28,S0022311514001640,S0022311514001640-28,.,O
29,S0022311514001640,S0022311514001640-29,As,O
30,S0022311514001640,S0022311514001640-30,an,O
31,S0022311514001640,S0022311514001640-31,immediate,O
32,S0022311514001640,S0022311514001640-32,result,O
33,S0022311514001640,S0022311514001640-33,the,O
34,S0022311514001640,S0022311514001640-34,vapour,U
35,S0022311514001640,S0022311514001640-35,contains,O
36,S0022311514001640,S0022311514001640-36,a,O
37,S0022311514001640,S0022311514001640-37,higher,O
38,S0022311514001640,S0022311514001640-38,amount,O
39,S0022311514001640,S0022311514001640-39,of,O
40,S0022311514001640,S0022311514001640-40,silicon,U
41,S0022311514001640,S0022311514001640-41,leaving,O
42,S0022311514001640,S0022311514001640-42,the,O
43,S0022311514001640,S0022311514001640-43,solid,B
44,S0022311514001640,S0022311514001640-44,phase,L
45,S0022311514001640,S0022311514001640-45,with,O
46,S0022311514001640,S0022311514001640-46,excess,O
47,S0022311514001640,S0022311514001640-47,carbon,U
48,S0022311514001640,S0022311514001640-48,.,O
49,S0022311514001640,S0022311514001640-49,This,O
50,S0022311514001640,S0022311514001640-50,carbon,U
51,S0022311514001640,S0022311514001640-51,is,O
52,S0022311514001640,S0022311514001640-52,likely,O
53,S0022311514001640,S0022311514001640-53,to,O
54,S0022311514001640,S0022311514001640-54,precipitate,B
55,S0022311514001640,S0022311514001640-55,on,I
56,S0022311514001640,S0022311514001640-56,the,I
57,S0022311514001640,S0022311514001640-57,surface,I
58,S0022311514001640,S0022311514001640-58,of,I
59,S0022311514001640,S0022311514001640-59,the,I
60,S0022311514001640,S0022311514001640-60,SiC,B
61,S0022311514001640,S0022311514001640-61,grains,L
62,S0022311514001640,S0022311514001640-62,",",O
63,S0022311514001640,S0022311514001640-63,a,O
64,S0022311514001640,S0022311514001640-64,process,O
65,S0022311514001640,S0022311514001640-65,that,O
66,S0022311514001640,S0022311514001640-66,becomes,O
67,S0022311514001640,S0022311514001640-67,very,O
68,S0022311514001640,S0022311514001640-68,rapid,O
69,S0022311514001640,S0022311514001640-69,as,O
70,S0022311514001640,S0022311514001640-70,the,O
71,S0022311514001640,S0022311514001640-71,temperature,O
72,S0022311514001640,S0022311514001640-72,approaches,O
73,S0022311514001640,S0022311514001640-73,2100K,O
74,S0022311514001640,S0022311514001640-74,[,O
75,S0022311514001640,S0022311514001640-75,24,O
76,S0022311514001640,S0022311514001640-76,],O
77,S0022311514001640,S0022311514001640-77,.,O
78,S0022311514001640,S0022311514001640-78,Within,O
79,S0022311514001640,S0022311514001640-79,the,O
80,S0022311514001640,S0022311514001640-80,TRISO,B
81,S0022311514001640,S0022311514001640-81,particle,L
82,S0022311514001640,S0022311514001640-82,the,O
83,S0022311514001640,S0022311514001640-83,SiC,U
84,S0022311514001640,S0022311514001640-84,layer,O
85,S0022311514001640,S0022311514001640-85,is,O
86,S0022311514001640,S0022311514001640-86,sandwiched,O
87,S0022311514001640,S0022311514001640-87,between,O
88,S0022311514001640,S0022311514001640-88,two,O
89,S0022311514001640,S0022311514001640-89,coatings,O
90,S0022311514001640,S0022311514001640-90,of,O
91,S0022311514001640,S0022311514001640-91,dense,O
92,S0022311514001640,S0022311514001640-92,carbon,U
93,S0022311514001640,S0022311514001640-93,.,O
94,S0022311514001640,S0022311514001640-94,The,O
95,S0022311514001640,S0022311514001640-95,partial,B
96,S0022311514001640,S0022311514001640-96,pressure,L
97,S0022311514001640,S0022311514001640-97,in,O
98,S0022311514001640,S0022311514001640-98,thermodynamic,O
99,S0022311514001640,S0022311514001640-99,equilibrium,O
100,S0022311514001640,S0022311514001640-100,of,O
101,S0022311514001640,S0022311514001640-101,gaseous,B
102,S0022311514001640,S0022311514001640-102,carbon,L
103,S0022311514001640,S0022311514001640-103,forming,O
104,S0022311514001640,S0022311514001640-104,above,O
105,S0022311514001640,S0022311514001640-105,graphite,U
106,S0022311514001640,S0022311514001640-106,was,O
107,S0022311514001640,S0022311514001640-107,calculated,O
108,S0022311514001640,S0022311514001640-108,using,O
109,S0022311514001640,S0022311514001640-109,data,B
110,S0022311514001640,S0022311514001640-110,taken,I
111,S0022311514001640,S0022311514001640-111,from,I
112,S0022311514001640,S0022311514001640-112,JANAF,I
113,S0022311514001640,S0022311514001640-113,tables,L
114,S0022311514001640,S0022311514001640-114,and,O
115,S0022311514001640,S0022311514001640-115,added,O
116,S0022311514001640,S0022311514001640-116,to,O
117,S0022311514001640,S0022311514001640-117,Fig,O
118,S0022311514001640,S0022311514001640-118,.,O
119,S0022311514001640,S0022311514001640-119,1,O
120,S0022311514001640,S0022311514001640-120,[,O
121,S0022311514001640,S0022311514001640-121,25,O
122,S0022311514001640,S0022311514001640-122,],O
123,S0022311514001640,S0022311514001640-123,",",O
124,S0022311514001640,S0022311514001640-124,which,O
125,S0022311514001640,S0022311514001640-125,showed,O
126,S0022311514001640,S0022311514001640-126,that,O
127,S0022311514001640,S0022311514001640-127,in,O
128,S0022311514001640,S0022311514001640-128,the,O
129,S0022311514001640,S0022311514001640-129,whole,O
