DocID,TokenID,Token,Tag
S0022311514001640,S0022311514001640-0,The,
S0022311514001640,S0022311514001640-1,vapour,
S0022311514001640,S0022311514001640-2,phase,
S0022311514001640,S0022311514001640-3,consists,
S0022311514001640,S0022311514001640-4,of,
S0022311514001640,S0022311514001640-5,a,
S0022311514001640,S0022311514001640-6,number,
S0022311514001640,S0022311514001640-7,of,
S0022311514001640,S0022311514001640-8,different,
S0022311514001640,S0022311514001640-9,gases,
S0022311514001640,S0022311514001640-10,with,
S0022311514001640,S0022311514001640-11,silicon,
S0022311514001640,S0022311514001640-12,exhibiting,
S0022311514001640,S0022311514001640-13,a,
S0022311514001640,S0022311514001640-14,far,
S0022311514001640,S0022311514001640-15,higher,
S0022311514001640,S0022311514001640-16,partial,
S0022311514001640,S0022311514001640-17,pressure,
S0022311514001640,S0022311514001640-18,than,
S0022311514001640,S0022311514001640-19,all,
S0022311514001640,S0022311514001640-20,carbon,
S0022311514001640,S0022311514001640-21,containing,
S0022311514001640,S0022311514001640-22,species,
S0022311514001640,S0022311514001640-23,over,
S0022311514001640,S0022311514001640-24,the,
S0022311514001640,S0022311514001640-25,full,
S0022311514001640,S0022311514001640-26,temperature,
S0022311514001640,S0022311514001640-27,range,
S0022311514001640,S0022311514001640-28,.,
S0022311514001640,S0022311514001640-29,As,
S0022311514001640,S0022311514001640-30,an,
S0022311514001640,S0022311514001640-31,immediate,
S0022311514001640,S0022311514001640-32,result,
S0022311514001640,S0022311514001640-33,the,
S0022311514001640,S0022311514001640-34,vapour,
S0022311514001640,S0022311514001640-35,contains,
S0022311514001640,S0022311514001640-36,a,
S0022311514001640,S0022311514001640-37,higher,
S0022311514001640,S0022311514001640-38,amount,
S0022311514001640,S0022311514001640-39,of,
S0022311514001640,S0022311514001640-40,silicon,
S0022311514001640,S0022311514001640-41,leaving,
S0022311514001640,S0022311514001640-42,the,
S0022311514001640,S0022311514001640-43,solid,
S0022311514001640,S0022311514001640-44,phase,
S0022311514001640,S0022311514001640-45,with,
S0022311514001640,S0022311514001640-46,excess,
S0022311514001640,S0022311514001640-47,carbon,
S0022311514001640,S0022311514001640-48,.,
S0022311514001640,S0022311514001640-49,This,
S0022311514001640,S0022311514001640-50,carbon,
S0022311514001640,S0022311514001640-51,is,
S0022311514001640,S0022311514001640-52,likely,
S0022311514001640,S0022311514001640-53,to,
S0022311514001640,S0022311514001640-54,precipitate,
S0022311514001640,S0022311514001640-55,on,
S0022311514001640,S0022311514001640-56,the,
S0022311514001640,S0022311514001640-57,surface,
S0022311514001640,S0022311514001640-58,of,
S0022311514001640,S0022311514001640-59,the,
S0022311514001640,S0022311514001640-60,SiC,
S0022311514001640,S0022311514001640-61,grains,
S0022311514001640,S0022311514001640-62,",",
S0022311514001640,S0022311514001640-63,a,
S0022311514001640,S0022311514001640-64,process,
S0022311514001640,S0022311514001640-65,that,
S0022311514001640,S0022311514001640-66,becomes,
S0022311514001640,S0022311514001640-67,very,
S0022311514001640,S0022311514001640-68,rapid,
S0022311514001640,S0022311514001640-69,as,
S0022311514001640,S0022311514001640-70,the,
S0022311514001640,S0022311514001640-71,temperature,
S0022311514001640,S0022311514001640-72,approaches,
S0022311514001640,S0022311514001640-73,2100K,
S0022311514001640,S0022311514001640-74,[,
S0022311514001640,S0022311514001640-75,24,
S0022311514001640,S0022311514001640-76,],
S0022311514001640,S0022311514001640-77,.,
S0022311514001640,S0022311514001640-78,Within,
S0022311514001640,S0022311514001640-79,the,
S0022311514001640,S0022311514001640-80,TRISO,
S0022311514001640,S0022311514001640-81,particle,
S0022311514001640,S0022311514001640-82,the,
S0022311514001640,S0022311514001640-83,SiC,
S0022311514001640,S0022311514001640-84,layer,
S0022311514001640,S0022311514001640-85,is,
S0022311514001640,S0022311514001640-86,sandwiched,
S0022311514001640,S0022311514001640-87,between,
S0022311514001640,S0022311514001640-88,two,
S0022311514001640,S0022311514001640-89,coatings,
S0022311514001640,S0022311514001640-90,of,
S0022311514001640,S0022311514001640-91,dense,
